Empreendimento,Sede,Área,Ente Responsável,Status na Copa (2014),Status em 2022,Início das obras,Fim das obras,Orçamento Inicial (2010),Orçamento na Copa (12/2014),Investimento (1/2022),Banco Financiador,Valor do Financiamento,Contrato Financiamento
Reforma e Modernização do Terminal de Passageiros e Adequação do Sistema Viário,Belo Horizonte,Aeroportos,Governo Federal e BH Airport,Entregue,Concluído,9/2011,12/2016,"238,10","218,6","215,17",,,
Reforma e Ampliação da Pista de Pouso e do Sistema de Pátios,Belo Horizonte,Aeroportos,Governo Federal,Entregue,Concluído,2/2013,3/2017,"170,50","184,07","184,07",,,
"Construção do Terminal de Passageiros 3, Pátio de Aeronaves, Estacionamento de Veículos e Adequação do Sistema Viário",Belo Horizonte,Aeroportos,Governo Federal,Entregue,Concluído,8/2013,5/2014,,"26,8",,,,
"Concessão para Ampliação, Manutenção e Exploração do Aeroporto Internacional de Brasília - Fase 1B",Brasília,Aeroportos,Inframerica,Entregue,Concluído,12/2012,5/2014,,"642,40","1.200,00",,,
Construção do Módulo Operacional (MOP),Brasília,Aeroportos,Governo Federal,Concluído,Concluído,8/2011,6/2012,"4,00","4,80","4,80",,,
"Reforma e ampliação sul do terminal de passageiros (1a fase), ampliação do sistema de pátios de aeronaves e do sistema de viário e construção de edificações Complementares",Brasília,Aeroportos,Governo Federal,Concluído,Concluído,4/2011,11/2012,"744,40","4,20","4,20",,,
"Reforma e ampliação do terminal de passageiros, adequação do sistema viário e construção de estacionamento",Cuiabá,Aeroportos,Governo Federal,Entregue,Concluído,12/2012,8/2017,"87,50","98,70","80,31",,,
Construção do Módulo Operacional (MOP),Cuiabá,Aeroportos,Governo Federal,Concluído,Concluído,6/2011,11/2011,,"2,50","2,50",,,
Ampliação do Terminal de Passageiros e Ampliação do Sistema Viário,Curitiba,Aeroportos,Governo Federal,Entregue,Entregue,5/2013,11/2016,"41,30","110,20","108,42",,,
"Ampliação do Pátio, Infraestrutura, Macrodrenagem e Obras Complementares",Curitiba,Aeroportos,Governo Federal,Concluído,Concluído,7/2011,12/2013,"31,50","28,00","28,00",,,
Restauração da Pista de Pouso e Decolagem e de Táxi e Obras Complementares,Curitiba,Aeroportos,Governo Federal,Concluído,Concluído,9/2011,6/2012,,"19,10","19,10",,,
Reforma e Ampliação do Terminal de Passageiros e Adequação do Sistema Viário (1o Fase),Fortaleza,Aeroportos,Governo Federal,Entregue,Concluído,6/2012,3/2020,"297,50","171,10","83,69",,,
Reforma e Ampliação do Terminal de Passageiros (1o Fase),Manaus,Aeroportos,Governo Federal,Entregue,Concluído,11/2011,4/2015,"327,40","445,10","471,50",,,
"Construção do Terminal de Passageiros (1a fase), sistema viário de acesso e obras complementares (Concessão)",Natal,Aeroportos,Inframerica,Entregue,Concluído,11/2012,5/2014,"408,00","383,40","500,00",,,
"Infraestrutura de Pista de Pouso, Infraestrutura dos Sistemas de Auxílio e Proteção ao Vôo",Natal,Aeroportos,Inframerica,Concluído,Concluído,11/2009,2/2014,"168,90","189,20","150,00",,,
